,confirm order
2023-06-11 00:00:00+00:00,8.329021464646464
2023-06-18 00:00:00+00:00,6.981723484848485
2023-06-25 00:00:00+00:00,9.371196581196582
2023-07-02 00:00:00+00:00,6.708112373737373
2023-07-09 00:00:00+00:00,11.254761904761905
2023-07-16 00:00:00+00:00,7.807165242165242
2023-07-23 00:00:00+00:00,5.146900252525253
2023-07-30 00:00:00+00:00,9.081659891598916
2023-08-06 00:00:00+00:00,6.801279239766082
2023-08-13 00:00:00+00:00,5.002466931216931
2023-08-20 00:00:00+00:00,8.330298102981029
2023-08-27 00:00:00+00:00,7.203326873385013
2023-09-03 00:00:00+00:00,2.052034722222222
2023-09-10 00:00:00+00:00,5.406455314009661
2023-09-17 00:00:00+00:00,10.826138211382114
2023-09-24 00:00:00+00:00,7.385691358024691
2023-10-01 00:00:00+00:00,12.139876543209876
2023-10-08 00:00:00+00:00,5.526621447028424
2023-10-15 00:00:00+00:00,11.395738482384823
2023-10-22 00:00:00+00:00,7.95003086419753
2023-10-29 00:00:00+00:00,7.235115176151762
2023-11-05 00:00:00+00:00,9.246339031339032
2023-11-12 00:00:00+00:00,5.8372425474254745
2023-11-19 00:00:00+00:00,13.734422514619885
2023-11-26 00:00:00+00:00,10.614027777777778
2023-12-03 00:00:00+00:00,8.901343669250647
2023-12-10 00:00:00+00:00,9.627051282051282
2023-12-17 00:00:00+00:00,7.007342995169082
2023-12-24 00:00:00+00:00,12.883006944444446
2023-12-31 00:00:00+00:00,7.137818428184282
2024-01-07 00:00:00+00:00,9.007926829268293
2024-01-14 00:00:00+00:00,8.317784552845527
2024-01-21 00:00:00+00:00,5.848453282828283
2024-01-28 00:00:00+00:00,4.9859757834757845
2024-02-04 00:00:00+00:00,6.410443121693121
2024-02-11 00:00:00+00:00,7.719847883597883
2024-02-18 00:00:00+00:00,9.721627906976744
2024-02-25 00:00:00+00:00,8.053069105691057
2024-03-03 00:00:00+00:00,8.024256756756756
